id,Country,Year,Asylum applicants,Asylum applicants per capita,Asylum applicants per GDP,Asylum applicants (first instance),Asylum applicants (first instance) per capita,Asylum applicants (first instance) per GDP,Total positive decisions,Total positive decisions per capita,Total positive decisions per GDP,Geneva Convention status grants,Geneva Convention status grants per capita,Geneva Convention status grants per GDP
AT,Austria,2011,14455,173,47,14455,173,47,4085,49,13,2480,30,8
BE,Belgium,2011,32270,293,86,25585,233,68,5075,46,13,3810,35,10
BG,Bulgaria,2011,890,12,21,705,10,17,190,3,5,10,0,0
CH,Switzerland,2011,23880,303,46,19445,247,38,6445,82,12,3675,47,7
CY,Cyprus,2011,1770,211,89,1745,208,88,70,8,4,55,7,3
CZ,Czechia,2011,755,7,5,485,5,3,320,3,2,105,1,1
DE,Germany,2011,53345,66,20,45740,57,17,9675,12,4,7100,9,3
DK,Denmark,2011,3985,72,16,3985,72,16,1315,24,5,735,13,3
EE,Estonia,2011,65,5,4,65,5,4,10,1,1,10,1,1
GR,Greece,2011,9310,84,46,9310,84,46,180,2,1,45,0,0
ES,Spain,2011,3420,7,3,2975,6,3,990,2,1,335,1,0
FI,Finland,2011,2975,55,15,2975,55,15,1065,20,5,160,3,1
FR,France,2011,57335,88,28,52140,80,25,4615,7,2,3340,5,2
HU,Hungary,2011,1695,17,17,1695,17,17,155,2,2,45,0,0
IE,Ireland,2011,1290,28,8,1280,28,7,75,2,0,60,1,0
IS,Iceland,2011,75,24,7,75,24,7,10,3,1,10,3,1
IT,Italy,2011,40350,68,24,40335,68,24,7155,12,4,1805,3,1
LI,Liechtenstein,2011,75,207,16,75,207,16,15,41,3,0,0,0
LT,Lithuania,2011,525,17,17,405,13,13,25,1,1,5,0,0
LU,Luxembourg,2011,2155,421,49,1920,375,43,35,7,1,30,6,1
LV,Latvia,2011,340,16,17,335,16,17,20,1,1,5,0,0
MT,Malta,2011,1890,455,273,1865,449,269,885,213,128,70,17,10
NL,Netherlands,2011,14590,88,22,11560,69,18,6830,41,11,710,4,1
NO,Norway,2011,9055,184,25,8575,174,24,4015,82,11,2810,57,8
PL,Poland,2011,6890,18,18,4985,13,13,475,1,1,155,0,0
PT,Portugal,2011,275,3,2,275,3,2,65,1,0,25,0,0
RO,Romania,2011,1720,9,12,1695,8,12,75,0,1,70,0,1
SE,Sweden,2011,29710,316,72,29690,315,72,8805,94,21,2335,25,6
SI,Slovenia,2011,360,18,10,305,15,8,20,1,1,15,1,0
SK,Slovakia,2011,490,9,7,320,6,4,115,2,2,5,0,0
UK,UK,2011,26940,43,14,25900,41,14,7240,11,4,5515,9,3
AT,Austria,2012,17450,208,55,17450,208,55,4460,53,14,2680,32,8
BE,Belgium,2012,28305,256,73,18450,167,48,5555,50,14,3990,36,10
BG,Bulgaria,2012,1385,19,33,1230,17,29,170,2,4,20,0,0
CH,Switzerland,2012,28640,360,54,25965,326,49,4280,54,8,2455,31,5
CY,Cyprus,2012,1635,190,84,1590,184,82,105,12,5,80,9,4
CZ,Czechia,2012,755,7,5,515,5,3,175,2,1,50,0,0
DE,Germany,2012,77650,97,28,64540,80,24,17140,21,6,8765,11,3
DK,Denmark,2012,6075,109,24,6075,109,24,1700,30,7,1035,19,4
EE,Estonia,2012,75,6,4,75,6,4,10,1,1,10,1,1
GR,Greece,2012,9575,86,51,9575,86,51,95,1,1,30,0,0
ES,Spain,2012,2565,5,2,2355,5,2,525,1,1,230,0,0
