Year,State_District_Code,District_ID,CD,State,Name,Legislative_Experience,dwn1,icpsr,Female,Same,Black,Latino/a,Asian,Native_Amer,MENA,Party,cosponsorship,bills_introduced,leadership_score,state_abb,District_Race_W,District_Race_B,District_Race_A,District_L,PCI,2020_Prez_Vote_D,prez_vote_d_2016,prez_vote_d_2012,Group,treatment
2013,CA03,24,3,California,"GARAMENDI, John",20,-0.309,20958,0,1,0,0,0,0,0,1,181,4,0.755902038,CA,0.49,0.063,0.102,0.288,27660,54.88382599,52.99100295,54.3,B,0
2014,CA03,24,3,California,"GARAMENDI, John",21,-0.309,20958,0,1,0,0,0,0,0,1,331,6,0.744204688,CA,0.488,0.058,0.111,0.29,28720,54.88382599,52.99100295,54.3,B,0
2015,CA03,24,3,California,"GARAMENDI, John",22,-0.309,20958,0,1,0,0,0,0,0,1,275,6,0.448147147,CA,0.474,0.061,0.108,0.3,29283,54.88382599,52.99100295,54.3,B,0
2016,CA03,24,3,California,"GARAMENDI, John",23,-0.309,20958,0,1,0,0,0,0,0,1,427,13,0.805979262,CA,0.48,0.06,0.104,0.297,31523,54.88382599,52.99100295,54.3,B,0
2017,CA03,24,3,California,"GARAMENDI, John",24,-0.309,20958,0,1,0,0,0,0,0,1,334,5,0.711222318,CA,0.466,0.059,0.114,0.303,31742,54.88382599,52.99100295,54.3,B,0
2018,CA03,24,3,California,"GARAMENDI, John",25,-0.309,20958,0,1,0,0,0,0,0,1,503,10,0.723819124,CA,0.464,0.056,0.115,0.299,31575,54.88382599,52.99100295,54.3,B,0
2019,CA03,24,3,California,"GARAMENDI, John",26,-0.309,20958,0,1,0,0,0,0,0,1,396,22,0.884,CA,0.459,0.062,0.11,0.302,34234,54.88382599,52.99100295,54.3,B,0
2020,CA03,24,3,California,"GARAMENDI, John",27,-0.309,20958,0,1,0,0,0,0,0,1,565,32,0.821318746,CA,0.461,0.061,0.114,0.301,32955,54.88382599,52.99100295,54.3,B,0
2013,CA05,26,5,California,"THOMPSON, Michael",23,-0.395,29901,0,1,0,0,0,0,0,1,148,8,0.52118334,CA,0.523,0.057,0.103,0.27,35378,72.44896,69.15214455,69.7,B,0
2014,CA05,26,5,California,"THOMPSON, Michael",24,-0.395,29901,0,1,0,0,0,0,0,1,314,15,0.263011022,CA,0.501,0.063,0.111,0.276,36205,72.44896,69.15214455,69.7,B,0
2015,CA05,26,5,California,"THOMPSON, Michael",25,-0.395,29901,0,1,0,0,0,0,0,1,269,9,0.68574799,CA,0.496,0.057,0.115,0.279,37575,72.44896,69.15214455,69.7,B,0
2016,CA05,26,5,California,"THOMPSON, Michael",26,-0.395,29901,0,1,0,0,0,0,0,1,383,20,0.052297557,CA,0.493,0.059,0.113,0.278,37979,72.44896,69.15214455,69.7,B,0
2017,CA05,26,5,California,"THOMPSON, Michael",27,-0.395,29901,0,1,0,0,0,0,0,1,250,20,0.266619949,CA,0.485,0.059,0.111,0.292,39895,72.44896,69.15214455,69.7,B,0
2018,CA05,26,5,California,"THOMPSON, Michael",28,-0.395,29901,0,1,0,0,0,0,0,1,365,24,0.256624342,CA,0.487,0.062,0.111,0.292,40350,72.44896,69.15214455,69.7,B,0
2019,CA05,26,5,California,"THOMPSON, Michael",29,-0.395,29901,0,1,0,0,0,0,0,1,273,37,0.978,CA,0.492,0.063,0.115,0.289,43366,72.44896,69.15214455,69.7,B,0
2020,CA05,26,5,California,"THOMPSON, Michael",30,-0.395,29901,0,1,0,0,0,0,0,1,455,55,0.964994247,CA,0.488,0.059,0.111,0.286,41462,72.44896,69.15214455,69.7,B,0
2013,CA09,30,9,California,"McNERNEY, Jerry",6,-0.263,20702,0,1,0,0,0,0,0,1,140,11,0.571751601,CA,0.359,0.081,0.143,0.374,25577,57.91499584,56.55923188,57.8,B,0
2014,CA09,30,9,California,"McNERNEY, Jerry",7,-0.263,20702,0,1,0,0,0,0,0,1,265,25,0.819241875,CA,0.355,0.093,0.137,0.371,26512,57.91499584,56.55923188,57.8,B,0
2015,CA09,30,9,California,"McNERNEY, Jerry",8,-0.263,20702,0,1,0,0,0,0,0,1,188,15,0.194679592,CA,0.352,0.087,0.14,0.376,27305,57.91499584,56.55923188,57.8,B,0
2016,CA09,30,9,California,"McNERNEY, Jerry",9,-0.263,20702,0,1,0,0,0,0,0,1,330,28,0.27018818,CA,0.336,0.09,0.142,0.382,28578,57.91499584,56.55923188,57.8,B,0
2017,CA09,30,9,California,"McNERNEY, Jerry",10,-0.263,20702,0,1,0,0,0,0,0,1,240,13,0.064816151,CA,0.339,0.086,0.14,0.381,29702,57.91499584,56.55923188,57.8,B,0
2018,CA09,30,9,California,"McNERNEY, Jerry",11,-0.263,20702,0,1,0,0,0,0,0,1,428,22,0.313505976,CA,0.328,0.087,0.147,0.392,29984,57.91499584,56.55923188,57.8,B,0
2019,CA09,30,9,California,"McNERNEY, Jerry",12,-0.263,20702,0,1,0,0,0,0,0,1,310,14,0.328,CA,0.316,0.093,0.159,0.384,31550,57.91499584,56.55923188,57.8,B,0
2020,CA09,30,9,California,"McNERNEY, Jerry",13,-0.263,20702,0,1,0,0,0,0,0,1,488,21,0.250281812,CA,0.326,0.087,0.146,0.388,30158,57.91499584,56.55923188,57.8,B,0
2013,CA15,36,15,California,"SWALWELL, Eric",0,-0.366,21306,0,1,0,0,0,0,0,1,186,7,0.833220393,CA,0.353,0.056,0.298,0.238,40764,71.50295328,69.92577389,68,B,0
2014,CA15,36,15,California,"SWALWELL, Eric",1,-0.366,21306,0,1,0,0,0,0,0,1,367,9,0.839046634,CA,0.33,0.064,0.325,0.228,41874,71.50295328,69.92577389,68,B,0
2015,CA15,36,15,California,"SWALWELL, Eric",2,-0.366,21306,0,1,0,0,0,0,0,1,344,5,0.799515186,CA,0.326,0.059,0.335,0.222,44413,71.50295328,69.92577389,68,B,0
2016,CA15,36,15,California,"SWALWELL, Eric",3,-0.366,21306,0,1,0,0,0,0,0,1,553,10,0.696162509,CA,0.333,0.049,0.333,0.23,47991,71.50295328,69.92577389,68,B,0
2017,CA15,36,15,California,"SWALWELL, Eric",4,-0.366,21306,0,1,0,0,0,0,0,1,361,8,0.876418274,CA,0.317,0.055,0.348,0.225,50675,71.50295328,69.92577389,68,B,0
2018,CA15,36,15,California,"SWALWELL, Eric",5,-0.366,21306,0,1,0,0,0,0,0,1,482,15,0.451854726,CA,0.312,0.05,0.357,0.223,51009,71.50295328,69.92577389,68,B,0
2019,CA15,36,15,California,"SWALWELL, Eric",6,-0.366,21306,0,1,0,0,0,0,0,1,388,14,0.539,CA,0.305,0.047,0.369,0.215,54097,71.50295328,69.92577389,68,B,0
2020,CA15,36,15,California,"SWALWELL, Eric",7,-0.366,21306,0,1,0,0,0,0,0,1,551,21,0.499841944,CA,0.308,0.055,0.36,0.221,51640,71.50295328,69.92577389,68,B,0
2013,CA28,49,28,California,"SCHIFF, Adam",17,-0.35,20104,0,1,0,0,0,0,0,1,214,11,0.237516432,CA,0.558,0.028,0.129,0.252,42620,70.88976537,72.13210535,70.3,B,0
2014,CA28,49,28,California,"SCHIFF, Adam",18,-0.35,20104,0,1,0,0,0,0,0,1,376,17,0.362164927,CA,0.544,0.021,0.136,0.266,41331,70.88976537,72.13210535,70.3,B,0
2015,CA28,49,28,California,"SCHIFF, Adam",19,-0.35,20104,0,1,0,0,0,0,0,1,281,6,0.306191348,CA,0.562,0.029,0.132,0.242,44914,70.88976537,72.13210535,70.3,B,0
2016,CA28,49,28,California,"SCHIFF, Adam",20,-0.35,20104,0,1,0,0,0,0,0,1,410,9,0.089642117,CA,0.554,0.03,0.132,0.246,45228,70.88976537,72.13210535,70.3,B,0
2017,CA28,49,28,California,"SCHIFF, Adam",21,-0.35,20104,0,1,0,0,0,0,0,1,245,9,0.381305196,CA,0.568,0.032,0.122,0.242,45241,70.88976537,72.13210535,70.3,B,0
2018,CA28,49,28,California,"SCHIFF, Adam",22,-0.35,20104,0,1,0,0,0,0,0,1,415,16,0.429494295,CA,0.574,0.022,0.129,0.236,49147,70.88976537,72.13210535,70.3,B,0
2019,CA28,49,28,California,"SCHIFF, Adam",23,-0.35,20104,0,1,0,0,0,0,0,1,346,17,0.727,CA,0.541,0.026,0.149,0.239,48121,70.88976537,72.13210535,70.3,B,0
2020,CA28,49,28,California,"SCHIFF, Adam",24,-0.35,20104,0,1,0,0,0,0,0,1,467,31,0.723999716,CA,0.55,0.028,0.13,0.245,48473,70.88976537,72.13210535,70.3,B,0
2013,CA47,68,47,California,"LOWENTHAL, Alan",NA,-0.449,21313,0,1,0,0,0,0,0,1,343,3,0.289797391,CA,0.323,0.074,0.209,0.354,29670,62.44855652,62.61342521,60,B,0
2014,CA47,68,47,California,"LOWENTHAL, Alan",NA,-0.449,21313,0,1,0,0,0,0,0,1,588,8,0.300527392,CA,0.326,0.069,0.229,0.343,30694,62.44855652,62.61342521,60,B,0
